,time,open,high,low,close,tick_volume,spread,real_volume,candle_type
0,2024-09-15 21:00:00,1.10776,1.10776,1.10738,1.10745,32,73,0,
1,2024-09-15 21:10:00,1.10745,1.10777,1.10745,1.10765,58,42,0,
2,2024-09-15 21:20:00,1.10767,1.10773,1.10747,1.1075,44,37,0,
3,2024-09-15 21:30:00,1.10747,1.10757,1.1074,1.10754,94,28,0,
4,2024-09-15 21:40:00,1.10753,1.10762,1.10746,1.10747,59,28,0,
5,2024-09-15 21:50:00,1.10747,1.10761,1.10745,1.10747,59,28,0,doji
6,2024-09-15 22:00:00,1.10744,1.10806,1.10744,1.1078999999999999,164,28,0,
7,2024-09-15 22:10:00,1.1078999999999999,1.10806,1.10788,1.10801,63,28,0,
8,2024-09-15 22:20:00,1.10801,1.10845,1.108,1.10843,141,28,0,
9,2024-09-15 22:30:00,1.10843,1.1085099999999999,1.1083,1.10847,126,28,0,
10,2024-09-15 22:40:00,1.10845,1.10854,1.1084,1.1084,71,28,0,
11,2024-09-15 22:50:00,1.1084100000000001,1.10863,1.10837,1.10863,91,7,0,
12,2024-09-15 23:00:00,1.10864,1.10867,1.10846,1.10859,82,6,0,
13,2024-09-15 23:10:00,1.10859,1.10871,1.10846,1.10871,74,6,0,
14,2024-09-15 23:20:00,1.10871,1.10875,1.10865,1.10867,77,6,0,
15,2024-09-15 23:30:00,1.10867,1.10892,1.10867,1.10884,90,6,0,
16,2024-09-15 23:40:00,1.10884,1.10891,1.1087,1.10875,118,6,0,
17,2024-09-15 23:50:00,1.10875,1.10881,1.10868,1.1087,109,6,0,
18,2024-09-16 00:00:00,1.10871,1.10903,1.10866,1.10879,239,6,0,
19,2024-09-16 00:10:00,1.10878,1.10907,1.10878,1.10905,148,6,0,
20,2024-09-16 00:20:00,1.10905,1.10911,1.10895,1.10908,142,6,0,
21,2024-09-16 00:30:00,1.10907,1.10916,1.109,1.10916,137,6,0,
22,2024-09-16 00:40:00,1.10917,1.10921,1.10904,1.10918,101,6,0,
23,2024-09-16 00:50:00,1.10918,1.10919,1.10891,1.10891,129,6,0,bearish_marubozu
24,2024-09-16 01:00:00,1.10891,1.1091,1.10881,1.10883,127,6,0,
25,2024-09-16 01:10:00,1.10882,1.10899,1.10874,1.10896,138,6,0,
26,2024-09-16 01:20:00,1.10896,1.10921,1.1089,1.10915,132,6,0,
27,2024-09-16 01:30:00,1.10915,1.10922,1.1089,1.10898,158,6,0,
28,2024-09-16 01:40:00,1.10898,1.1090200000000001,1.10877,1.10892,119,6,0,
29,2024-09-16 01:50:00,1.10892,1.10894,1.10871,1.10875,152,6,0,
30,2024-09-16 02:00:00,1.10874,1.10888,1.10868,1.1087,137,6,0,
31,2024-09-16 02:10:00,1.1087,1.10886,1.10864,1.10886,93,6,0,
32,2024-09-16 02:20:00,1.10886,1.10888,1.10865,1.10879,118,6,0,
33,2024-09-16 02:30:00,1.10878,1.10883,1.10867,1.10879,111,6,0,
34,2024-09-16 02:40:00,1.10878,1.1090200000000001,1.10872,1.10898,104,6,0,
