,time,open,high,low,close,tick_volume,spread,real_volume,candle_type
0,2024-09-16 08:00:00,2582.146,2583.127,2581.408,2582.371,1164,112,0,
1,2024-09-16 08:10:00,2582.409,2586.269,2581.658,2585.787,1449,112,0,
2,2024-09-16 08:20:00,2585.754,2587.206,2585.662,2587.01,1363,112,0,
3,2024-09-16 08:30:00,2586.941,2588.55,2586.73,2587.987,1477,111,0,
4,2024-09-16 08:40:00,2588.031,2588.443,2586.555,2587.26,1239,111,0,
5,2024-09-16 08:50:00,2587.293,2587.849,2586.686,2586.878,1000,111,0,
6,2024-09-16 09:00:00,2586.879,2587.716,2586.541,2587.285,956,112,0,
7,2024-09-16 09:10:00,2587.286,2587.474,2585.738,2586.964,977,112,0,
8,2024-09-16 09:20:00,2586.92,2587.84,2586.442,2587.813,1020,112,0,
9,2024-09-16 09:30:00,2587.837,2588.308,2585.678,2586.499,1187,112,0,
10,2024-09-16 09:40:00,2586.465,2586.465,2584.298,2586.041,1306,112,0,
11,2024-09-16 09:50:00,2586.031,2586.062,2584.164,2585.524,920,111,0,
12,2024-09-16 10:00:00,2585.55,2586.43,2585.029,2585.489,849,112,0,doji
13,2024-09-16 10:10:00,2585.497,2585.93,2584.299,2585.106,973,112,0,
14,2024-09-16 10:20:00,2585.083,2585.099,2582.041,2582.159,898,111,0,bearish_marubozu
