SYMBOL,TIME FRAME,MAGIC,AVG CANDLE,ACTION,TP,SL,METHOD,DATA,RESULT,AMOUNT
XAUUSD,M1,1374,0.788428571,buy,788.4285714,900.4285714,boil_xian,{},W,
XAUUSD,M1,1376,1.076,buy,1076,1188,boil_xian,{},W,
XAUUSD,M1,1380,1.400142857,sell,1400.142857,1512.142857,boil_xian,{},L,
XAUUSD,M1,1383,0.830857143,sell,830.8571429,942.8571429,boil_xian,{},L,
XAUUSD,M1,1385,1.607571429,buy,1597.3,1709.3,boil_xian,{},W,
XAUUSD,M1,1387,1.622714286,sell,1622.714286,1734.714286,boil_xian,{},L,
XAUUSD,M1,1391,1.080142857,buy,1053.1,1165.1,boil_xian,{},W,
XAUUSD,M1,1396,0.628857143,sell,628.8571429,740.8571429,boil_xian,{},W,
XAUUSD,M1,1405,1.535,sell,1172.05,1284.05,boil_xian,{},W,
XAUUSD,M1,1407,0.960571429,buy,960.5714286,1072.571429,boil_xian,{},L,
XAUUSD,M1,1414,0.533142857,buy,505.35,617.35,boil_xian,{},L,
XAUUSD,M1,1417,0.718714286,buy,718.7142857,830.7142857,boil_xian,{},W,
XAUUSD,M1,1422,0.618285714,sell,321.7,433.7,boil_xian,{},L,
XAUUSD,M1,1427,0.482,sell,70.75,182.75,boil_xian,{},W,
XAUUSD,M1,1428,0.541571429,sell,70.75,182.75,boil_xian,{},L,
XAUUSD,M1,1429,0.613285714,sell,70.75,182.75,boil_xian,{},L,
XAUUSD,M1,1430,0.617142857,sell,459.35,571.35,boil_xian,{},L,
XAUUSD,M1,1433,0.466571429,sell,466.5714286,578.5714286,boil_xian,{},L,
XAUUSD,M1,1434,0.610428571,sell,610.4285714,722.4285714,boil_xian,{},L,
XAUUSD,M1,1435,0.689,sell,689,801,boil_xian,{},L,
XAUUSD,M1,1437,0.807285714,sell,807.2857143,919.2857143,boil_xian,{},L,
XAUUSD,M1,1439,0.736,sell,736,848,boil_xian,{},W,
XAUUSD,M1,1442,0.538,sell,538,650,boil_xian,{},L,
XAUUSD,M1,1444,0.482,sell,482,594,boil_xian,{},L,
XAUUSD,M1,1445,0.676571429,sell,676.5714286,787.5714286,boil_xian,{},L,
XAUUSD,M1,1446,0.737142857,sell,737.1428571,849.1428571,boil_xian,{},L,
XAUUSD,M1,1452,0.425714286,sell,363.5,475.5,boil_xian,{},L,
XAUUSD,M1,1456,0.426857143,buy,426.8571429,538.8571429,boil_xian,{},L,
XAUUSD,M1,1463,0.320714286,sell,320.7142857,432.7142857,boil_xian,{},L,
XAUUSD,M1,1466,0.357571429,buy,357.5714286,469.5714286,boil_xian,{},W,
XAUUSD,M1,1470,0.314142857,sell,314.1428571,426.1428571,boil_xian,{},W,
XAUUSD,M1,1472,0.263,buy,263,375,boil_xian,{},W,
XAUUSD,M1,1473,0.495571429,buy,147.05,259.05,boil_xian,{},W,
XAUUSD,M1,1480,0.235142857,sell,235.1428571,347.1428571,boil_xian,{},L,
XAUUSD,M1,1483,0.153142857,buy,152.2,264.2,boil_xian,{},W,
XAUUSD,M1,1485,0.228,sell,228,340,boil_xian,{},W,
XAUUSD,M1,1487,0.193714286,buy,78.2,190.2,boil_xian,{},L,
XAUUSD,M1,1491,0.245857143,buy,85.05,197.05,boil_xian,{},L,
XAUUSD,M1,1493,0.474285714,sell,474.2857143,586.2857143,boil_xian,{},L,
XAUUSD,M1,1497,0.293142857,buy,293.1428571,405.1428571,boil_xian,{},L,
XAUUSD,M1,1503,0.366571429,sell,366.5714286,478.5714286,boil_xian,{},W,
XAUUSD,M1,1506,0.345285714,buy,345.2857143,457.2857143,boil_xian,{},L,
XAUUSD,M1,1509,0.886142857,buy,886.1428571,998.1428571,boil_xian,{},L,
XAUUSD,M1,1512,0.480714286,buy,480.7142857,592.7142857,boil_xian,{},L,
XAUUSD,M1,1513,0.564714286,buy,469.35,581.35,boil_xian,{},W,
XAUUSD,M1,1517,0.696428571,buy,527.75,639.75,boil_xian,{},L,
XAUUSD,M1,1518,0.490142857,buy,490.1428571,602.1428571,boil_xian,{},L,
XAUUSD,M1,1521,0.519,buy,519,631,boil_xian,{},L,
XAUUSD,M1,1522,0.742571429,buy,742.5714286,854.5714286,boil_xian,{},W,
XAUUSD,M1,1524,0.539428571,buy,33.4,145.4,boil_xian,{},L,
XAUUSD,M1,1525,0.624714286,buy,624.7142857,736.7142857,boil_xian,{},W,
XAUUSD,M1,1527,0.462285714,buy,233.2,345.2,boil_xian,{},L,
XAUUSD,M1,1530,0.590428571,sell,590.4285714,702.4285714,boil_xian,{},L,
XAUUSD,M1,1531,0.458857143,buy,458.8571429,570.8571429,boil_xian,{},L,
XAUUSD,M1,1537,0.352857143,sell,352.8571429,464.8571429,boil_xian,{},L,
XAUUSD,M1,1540,0.315142857,buy,315.1428571,427.1428571,boil_xian,{},L,
XAUUSD,M1,1543,0.285714286,buy,285.7142857,397.7142857,boil_xian,{},L,
XAUUSD,M1,1546,0.330142857,buy,330.1428571,442.1428571,boil_xian,{},W,
XAUUSD,M1,1550,0.481,buy,481,593,boil_xian,{},W,
XAUUSD,M1,1554,0.472142857,buy,472.1428571,584.1428571,boil_xian,{},L,
XAUUSD,M1,1556,0.598142857,buy,598.1428571,710.1428571,boil_xian,{},L,
XAUUSD,M1,1558,0.504285714,buy,504.2857143,616.2857143,boil_xian,{},L,
XAUUSD,M1,1560,0.669571429,buy,669.5714286,781.5714286,boil_xian,{},L,
XAUUSD,M1,1562,0.471142857,buy,332.05,444.05,boil_xian,{},L,
XAUUSD,M1,1563,0.900714286,buy,900.7142857,1012.714286,boil_xian,{},W,
XAUUSD,M1,1566,0.493428571,sell,122.15,234.15,boil_xian,{},L,
XAUUSD,M1,1569,0.814857143,buy,814.8571429,926.8571429,boil_xian,{},L,
XAUUSD,M1,1575,0.448142857,buy,385.15,497.15,boil_xian,{},W,
XAUUSD,M1,1576,0.487142857,sell,487.1428571,599.1428571,boil_xian,{},L,
XAUUSD,M1,1577,0.534571429,sell,534.5714286,646.5714286,boil_xian,{},L,
XAUUSD,M1,1579,0.433714286,sell,255.25,367.25,boil_xian,{},W,
XAUUSD,M1,1585,0.449857143,buy,449.8571429,561.8571429,boil_xian,{},L,
XAUUSD,M1,1586,0.399,buy,399,511,boil_xian,{},L,
XAUUSD,M1,1587,0.634428571,buy,634.4285714,746.4285714,boil_xian,{},L,
XAUUSD,M1,1591,0.506,buy,506,618,boil_xian,{},L,
XAUUSD,M1,1592,0.627714286,buy,627.7142857,739.7142857,boil_xian,{},L,
XAUUSD,M1,1594,0.834,buy,834,946,boil_xian,{},W,
XAUUSD,M1,1604,0.566714286,buy,566.7142857,678.7142857,boil_xian,{},L,
XAUUSD,M1,1608,0.892571429,buy,595.8,707.8,boil_xian,{},W,
XAUUSD,M1,1611,0.745571429,buy,745.5714286,857.5714286,boil_xian,{},L,
XAUUSD,M1,1614,0.845,buy,845,957,boil_xian,{},W,
XAUUSD,M1,1615,0.915142857,buy,524.9,636.9,boil_xian,{},W,
XAUUSD,M1,1616,0.967571429,buy,967.5714286,1079.571429,boil_xian,{},W,
XAUUSD,M1,1619,1.147571429,buy,1147.571429,1259.571429,boil_xian,{},W,
XAUUSD,M1,1622,0.997571429,sell,997.5714286,1109.571429,boil_xian,{},L,
XAUUSD,M1,1627,1.066428571,sell,1066.428571,1178.428571,boil_xian,{},W,
XAUUSD,M1,1631,1.576,sell,1576,1688,boil_xian,{},W,
XAUUSD,M1,1633,1.637857143,buy,1637.857143,1749.857143,boil_xian,{},W,
XAUUSD,M1,1637,0.709,sell,709,821,boil_xian,{},W,
XAUUSD,M1,1639,0.980714286,sell,980.7142857,1092.714286,boil_xian,{},W,
XAUUSD,M1,1642,0.910428571,buy,910.4285714,1022.428571,boil_xian,{},W,
XAUUSD,M1,1648,0.780714286,sell,780.7142857,892.7142857,boil_xian,{},W,
XAUUSD,M1,1653,0.548285714,sell,548.2857143,660.2857143,boil_xian,{},L,
XAUUSD,M1,1656,0.611714286,sell,611.7142857,723.7142857,boil_xian,{},W,
XAUUSD,M1,1658,0.811571429,buy,811.5714286,923.5714286,boil_xian,{},L,
XAUUSD,M1,1665,0.665571429,buy,665.5714286,777.5714286,boil_xian,{},L,
XAUUSD,M1,1667,0.635428571,sell,98.75,210.75,boil_xian,{},L,
XAUUSD,M1,1668,0.597,buy,560.7,672.7,boil_xian,{},W,5.61
XAUUSD,M1,1669,0.555285714,sell,555.2857143,666.2857143,boil_xian,{},L,-6.66
XAUUSD,M1,1673,0.580142857,buy,236.1,348.1,boil_xian,{},W,2.36
XAUUSD,M1,1675,0.428,sell,94.45,205.45,boil_xian,{},L,-2.48
XAUUSD,M1,1677,0.446714286,buy,269.5,381.5,boil_xian,{},W,2.7
XAUUSD,M1,1678,0.377714286,buy,317.6,429.6,boil_xian,{},L,-3.99
XAUUSD,M1,1679,0.399142857,buy,399.1428571,511.1428571,boil_xian,{},W,3.99
EURUSD,M1,1242,8.43E-05,buy,16.85714286,16.85714286,fibonacci_price_action,,L,
EURUSD,M1,1253,9.71E-05,buy,19.42857143,19.42857143,fibonacci_price_action,,W,
EURUSD,M1,1292,7.71E-05,sell,15.42857143,15.42857143,fibonacci_price_action,,L,
EURUSD,M1,1296,0.000142857,sell,28.57142857,28.57142857,fibonacci_price_action,,L,
EURUSD,M1,1304,0.000144286,buy,28.85714286,28.85714286,fibonacci_price_action,,L,
EURUSD,M1,1318,0.000141429,sell,28.28571429,28.28571429,fibonacci_price_action,,W,
EURUSD,M1,1320,0.000167143,buy,33.42857143,33.42857143,fibonacci_price_action,,L,
EURUSD,M1,1327,8.00E-05,sell,16,16,fibonacci_price_action,,W,
EURUSD,M1,1329,7.86E-05,sell,15.71428571,15.71428571,fibonacci_price_action,,W,
EURUSD,M1,1347,0.0001,sell,20,20,fibonacci_price_action,,L,
EURUSD,M1,1360,0.000148571,buy,29.71428571,29.71428571,fibonacci_price_action,,L,
EURUSD,M1,1367,0.000141429,buy,28.28571429,28.28571429,fibonacci_price_action,,W,
EURUSD,M1,1394,0.000218571,buy,43.71428571,43.71428571,fibonacci_price_action,,L,
EURUSD,M1,1400,0.000184286,sell,36.85714286,36.85714286,fibonacci_price_action,,W,
EURUSD,M1,1403,0.000124286,sell,24.85714286,24.85714286,fibonacci_price_action,,W,
EURUSD,M1,1424,8.29E-05,buy,16.57142857,16.57142857,fibonacci_price_action,,L,
