,time,open,high,low,close,tick_volume,spread,real_volume,symbol
0,1726805640,1.11662,1.11667,1.11662,1.11666,6,6,0,EURUSD
1,1726805700,1.11665,1.11666,1.11661,1.11662,9,6,0,EURUSD
2,1726805760,1.11662,1.11662,1.1166,1.1166,9,6,0,EURUSD
3,1726805820,1.1166,1.11663,1.11659,1.1166,9,6,0,EURUSD
4,1726805880,1.1166,1.11661,1.1165,1.11652,16,6,0,EURUSD
5,1726805940,1.11652,1.11659,1.11651,1.11658,12,6,0,EURUSD
6,1726806000,1.11658,1.11662,1.11658,1.1166,8,6,0,EURUSD
7,1726806060,1.11661,1.11663,1.11661,1.11661,7,6,0,EURUSD
8,1726806120,1.11661,1.11666,1.11661,1.11665,10,6,0,EURUSD
9,1726806180,1.11665,1.1166800000000001,1.11665,1.1166800000000001,10,6,0,EURUSD
10,1726806240,1.1166800000000001,1.11676,1.1166800000000001,1.11672,15,6,0,EURUSD
11,1726806300,1.11672,1.11674,1.11672,1.11674,4,6,0,EURUSD
12,1726806360,1.11674,1.11676,1.1167,1.11671,13,6,0,EURUSD
13,1726806420,1.11671,1.11671,1.11667,1.11671,7,6,0,EURUSD
14,1726806480,1.1167,1.11674,1.1167,1.11674,12,6,0,EURUSD
15,1726806540,1.11673,1.11673,1.11666,1.11667,12,6,0,EURUSD
16,1726806600,1.11666,1.1166800000000001,1.11661,1.11664,19,6,0,EURUSD
17,1726806660,1.11664,1.11666,1.11662,1.11662,13,6,0,EURUSD
18,1726806720,1.11663,1.11664,1.11656,1.11658,15,6,0,EURUSD
19,1726806780,1.11658,1.11665,1.11658,1.11662,14,6,0,EURUSD
20,1726806840,1.11662,1.1166800000000001,1.11658,1.11664,19,6,0,EURUSD
21,1726806900,1.11664,1.11665,1.11661,1.11663,14,6,0,EURUSD
22,1726806960,1.11663,1.11666,1.11659,1.11659,16,6,0,EURUSD
23,1726807020,1.11659,1.11659,1.11646,1.11646,20,6,0,EURUSD
24,1726807080,1.11646,1.11655,1.11646,1.11646,20,6,0,EURUSD
25,1726807140,1.11647,1.11648,1.11642,1.11646,14,6,0,EURUSD
26,1726807200,1.11645,1.11646,1.11645,1.11646,6,6,0,EURUSD
27,1726807260,1.11646,1.11653,1.11646,1.11653,12,6,0,EURUSD
28,1726807320,1.11653,1.11656,1.11653,1.11653,12,6,0,EURUSD
29,1726807380,1.11653,1.11655,1.11652,1.11655,9,6,0,EURUSD
30,1726807440,1.11655,1.11656,1.11654,1.11655,5,6,0,EURUSD
31,1726807500,1.11655,1.11659,1.11651,1.11653,18,6,0,EURUSD
32,1726807560,1.11653,1.11654,1.11646,1.11647,18,6,0,EURUSD
33,1726807620,1.11647,1.11647,1.11642,1.11646,13,6,0,EURUSD
34,1726807680,1.11645,1.11651,1.11643,1.11649,13,6,0,EURUSD
35,1726807740,1.11648,1.11653,1.11646,1.1165,9,6,0,EURUSD
36,1726807800,1.11651,1.11652,1.1164,1.11641,16,6,0,EURUSD
37,1726807860,1.11641,1.11646,1.11639,1.11641,15,6,0,EURUSD
38,1726807920,1.1164,1.1164,1.11636,1.11636,12,6,0,EURUSD
39,1726807980,1.11636,1.11648,1.11636,1.11641,25,6,0,EURUSD
40,1726808040,1.11641,1.11641,1.11639,1.11639,8,6,0,EURUSD
41,1726808100,1.11639,1.11642,1.11639,1.11641,7,6,0,EURUSD
42,1726808160,1.11641,1.11647,1.1164,1.11647,11,6,0,EURUSD
43,1726808220,1.11647,1.11648,1.11646,1.11647,6,6,0,EURUSD
44,1726808280,1.11647,1.11647,1.11645,1.11645,8,6,0,EURUSD
45,1726808340,1.11646,1.11648,1.11645,1.11646,13,6,0,EURUSD
46,1726808400,1.11647,1.11657,1.11647,1.11652,16,6,0,EURUSD
47,1726808460,1.11652,1.11652,1.11641,1.11643,16,6,0,EURUSD
48,1726808520,1.11643,1.11648,1.11643,1.11647,11,6,0,EURUSD
49,1726808580,1.11647,1.11647,1.11636,1.11637,16,6,0,EURUSD
50,1726808640,1.11638,1.11643,1.11636,1.11638,21,6,0,EURUSD
51,1726808700,1.11637,1.1164,1.11629,1.1163,18,6,0,EURUSD
52,1726808760,1.1163,1.11633,1.1163,1.11632,14,6,0,EURUSD
53,1726808820,1.11632,1.11638,1.11632,1.11636,15,6,0,EURUSD
54,1726808880,1.11636,1.11636,1.1163,1.11631,12,6,0,EURUSD
55,1726808940,1.11631,1.11631,1.11625,1.11626,16,6,0,EURUSD
56,1726809000,1.11626,1.11627,1.11623,1.11623,13,6,0,EURUSD
57,1726809060,1.11623,1.11631,1.11623,1.11629,15,6,0,EURUSD
58,1726809120,1.11629,1.11633,1.11629,1.11632,12,6,0,EURUSD
59,1726809180,1.11632,1.11632,1.11624,1.11626,11,6,0,EURUSD
60,1726809240,1.11626,1.11632,1.1162,1.1163,24,6,0,EURUSD
61,1726809300,1.1163,1.1163,1.11616,1.11621,28,6,0,EURUSD
62,1726809360,1.11621,1.11623,1.11618,1.1162,12,6,0,EURUSD
63,1726809420,1.1162,1.11626,1.11618,1.11624,18,6,0,EURUSD
64,1726809480,1.11624,1.11627,1.1161699999999999,1.11619,14,6,0,EURUSD
65,1726809540,1.11619,1.11623,1.11616,1.11618,19,6,0,EURUSD
66,1726809600,1.1161699999999999,1.1162,1.11614,1.11616,15,6,0,EURUSD
67,1726809660,1.11615,1.1162,1.11609,1.11612,23,6,0,EURUSD
68,1726809720,1.11615,1.11623,1.11611,1.11623,21,6,0,EURUSD
69,1726809780,1.11623,1.11624,1.11622,1.11622,6,6,0,EURUSD
70,1726809840,1.11622,1.11623,1.11618,1.11618,13,6,0,EURUSD
71,1726809900,1.11618,1.11619,1.11613,1.11616,13,6,0,EURUSD
72,1726809960,1.11616,1.11618,1.11614,1.11614,14,6,0,EURUSD
73,1726810020,1.11615,1.1162,1.1161,1.11614,23,6,0,EURUSD
74,1726810080,1.11613,1.11615,1.1161,1.11615,16,6,0,EURUSD
75,1726810140,1.11615,1.11615,1.1161,1.11614,14,6,0,EURUSD
76,1726810200,1.11614,1.11624,1.11614,1.11622,20,6,0,EURUSD
77,1726810260,1.11622,1.11624,1.1161699999999999,1.11621,16,6,0,EURUSD
78,1726810320,1.11621,1.1163,1.11619,1.1163,17,6,0,EURUSD
79,1726810380,1.11629,1.11638,1.11629,1.11638,14,6,0,EURUSD
80,1726810440,1.11638,1.11638,1.11632,1.11634,11,6,0,EURUSD
81,1726810500,1.11634,1.11635,1.11633,1.11634,9,6,0,EURUSD
82,1726810560,1.11634,1.11652,1.1163,1.11651,26,6,0,EURUSD
83,1726810620,1.11651,1.11651,1.11642,1.11651,28,6,0,EURUSD
84,1726810680,1.1165,1.1165,1.11645,1.11646,16,6,0,EURUSD
85,1726810740,1.11646,1.1165,1.11634,1.11634,28,6,0,EURUSD
86,1726810800,1.11635,1.11645,1.11634,1.11643,21,6,0,EURUSD
87,1726810860,1.11643,1.11648,1.11639,1.11641,20,6,0,EURUSD
88,1726810920,1.1164,1.1165,1.11636,1.11646,20,6,0,EURUSD
89,1726810980,1.11646,1.11652,1.11645,1.11646,19,6,0,EURUSD
90,1726811040,1.11646,1.11647,1.11646,1.11646,7,6,0,EURUSD
91,1726811100,1.11646,1.11652,1.11646,1.11651,10,6,0,EURUSD
92,1726811160,1.11652,1.11652,1.11644,1.11644,18,6,0,EURUSD
93,1726811220,1.11644,1.1165,1.11644,1.11647,11,6,0,EURUSD
94,1726811280,1.11647,1.11647,1.11631,1.11635,26,6,0,EURUSD
95,1726811340,1.11635,1.11637,1.11629,1.11631,20,6,0,EURUSD
96,1726811400,1.11631,1.11641,1.11631,1.11638,14,6,0,EURUSD
97,1726811460,1.11637,1.11642,1.11634,1.11638,23,6,0,EURUSD
98,1726811520,1.11637,1.11642,1.11635,1.11639,26,6,0,EURUSD
99,1726811580,1.11639,1.11642,1.11631,1.11636,20,6,0,EURUSD
100,1726811640,1.11636,1.11638,1.11634,1.11637,17,6,0,EURUSD
101,1726811700,1.11638,1.11648,1.11638,1.11648,27,6,0,EURUSD
102,1726811760,1.11648,1.11657,1.11646,1.11655,26,6,0,EURUSD
103,1726811820,1.11654,1.1166,1.1165,1.1165,41,6,0,EURUSD
104,1726811880,1.11651,1.11655,1.11646,1.11646,26,6,0,EURUSD
105,1726811940,1.11647,1.11647,1.11636,1.11636,24,6,0,EURUSD
106,1726812000,1.11637,1.11674,1.11637,1.11657,99,6,0,EURUSD
107,1726812060,1.11659,1.11681,1.11655,1.11676,58,6,0,EURUSD
108,1726812120,1.11675,1.11682,1.11671,1.11676,63,6,0,EURUSD
109,1726812180,1.11676,1.11676,1.11666,1.11671,42,6,0,EURUSD
110,1726812240,1.11671,1.1167799999999999,1.11666,1.11676,47,6,0,EURUSD
111,1726812300,1.1167799999999999,1.11692,1.1167799999999999,1.11691,40,6,0,EURUSD
112,1726812360,1.11688,1.11695,1.11685,1.11694,36,6,0,EURUSD
113,1726812420,1.11692,1.11708,1.11688,1.11702,49,6,0,EURUSD
114,1726812480,1.11701,1.11701,1.11685,1.1169,43,6,0,EURUSD
115,1726812540,1.11691,1.11709,1.11691,1.11703,29,6,0,EURUSD
116,1726812600,1.11703,1.11731,1.11702,1.1173,44,6,0,EURUSD
117,1726812660,1.1172900000000001,1.1172900000000001,1.11702,1.11707,39,6,0,EURUSD
118,1726812720,1.11707,1.11712,1.117,1.11706,29,6,0,EURUSD
119,1726812780,1.11706,1.11711,1.11706,1.1171,19,6,0,EURUSD
120,1726812840,1.11712,1.11724,1.11712,1.11718,30,6,0,EURUSD
121,1726812900,1.11719,1.11719,1.11705,1.11706,20,6,0,EURUSD
122,1726812960,1.11706,1.11711,1.11702,1.11702,20,6,0,EURUSD
123,1726813020,1.11702,1.11719,1.117,1.11715,29,6,0,EURUSD
124,1726813080,1.11714,1.11714,1.11701,1.11703,44,6,0,EURUSD
125,1726813140,1.11703,1.11714,1.11703,1.11709,37,6,0,EURUSD
126,1726813200,1.11709,1.11714,1.11704,1.11713,33,6,0,EURUSD
127,1726813260,1.11713,1.11724,1.11711,1.11714,40,6,0,EURUSD
128,1726813320,1.11713,1.11722,1.11706,1.11721,36,6,0,EURUSD
129,1726813380,1.11721,1.11722,1.11706,1.11708,33,6,0,EURUSD
130,1726813440,1.11709,1.11712,1.11696,1.11701,40,6,0,EURUSD
131,1726813500,1.11701,1.11715,1.117,1.11714,37,6,0,EURUSD
132,1726813560,1.11714,1.11714,1.11694,1.11704,47,6,0,EURUSD
133,1726813620,1.11704,1.11713,1.11704,1.11706,38,6,0,EURUSD
134,1726813680,1.11707,1.11726,1.11706,1.11724,34,6,0,EURUSD
135,1726813740,1.11724,1.11727,1.11718,1.1172,32,6,0,EURUSD
136,1726813800,1.11719,1.11733,1.11718,1.11732,31,6,0,EURUSD
137,1726813860,1.11732,1.11745,1.1172900000000001,1.11743,38,6,0,EURUSD
138,1726813920,1.11743,1.11749,1.11741,1.11748,19,6,0,EURUSD
139,1726813980,1.11748,1.11764,1.11743,1.11763,44,6,0,EURUSD
140,1726814040,1.11763,1.11774,1.1176,1.11767,41,6,0,EURUSD
141,1726814100,1.11767,1.11767,1.11737,1.11752,59,6,0,EURUSD
142,1726814160,1.11751,1.11753,1.11738,1.11738,42,6,0,EURUSD
143,1726814220,1.1173899999999999,1.11743,1.11724,1.11732,88,6,0,EURUSD
144,1726814280,1.11733,1.11746,1.11723,1.11728,52,6,0,EURUSD
145,1726814340,1.11728,1.11735,1.11719,1.11734,51,6,0,EURUSD
146,1726814400,1.11733,1.11743,1.1172900000000001,1.11738,47,6,0,EURUSD
147,1726814460,1.11738,1.11752,1.11734,1.11747,49,6,0,EURUSD
148,1726814520,1.11748,1.11761,1.11743,1.11759,40,6,0,EURUSD
149,1726814580,1.11759,1.11765,1.11752,1.11753,37,6,0,EURUSD
150,1726814640,1.11753,1.11761,1.11747,1.11758,41,6,0,EURUSD
151,1726814700,1.11758,1.11766,1.11753,1.11759,42,6,0,EURUSD
152,1726814760,1.11759,1.1178,1.11756,1.11776,44,6,0,EURUSD
153,1726814820,1.11776,1.11783,1.11766,1.11774,36,6,0,EURUSD
154,1726814880,1.11774,1.11776,1.11757,1.11763,57,6,0,EURUSD
155,1726814940,1.11763,1.11784,1.11758,1.11768,47,6,0,EURUSD
156,1726815000,1.11767,1.11779,1.11765,1.11767,39,6,0,EURUSD
157,1726815060,1.11768,1.11776,1.11762,1.11763,52,6,0,EURUSD
158,1726815120,1.11764,1.11764,1.11724,1.11724,66,6,0,EURUSD
159,1726815180,1.11724,1.11736,1.11714,1.11721,48,6,0,EURUSD
160,1726815240,1.11722,1.11738,1.11722,1.11736,44,6,0,EURUSD
161,1726815300,1.11735,1.11751,1.11724,1.11727,62,6,0,EURUSD
162,1726815360,1.1172900000000001,1.11741,1.11721,1.11741,59,6,0,EURUSD
163,1726815420,1.11742,1.11747,1.11732,1.11736,48,6,0,EURUSD
164,1726815480,1.11736,1.11765,1.11736,1.11765,58,6,0,EURUSD
165,1726815540,1.11764,1.11769,1.11759,1.11759,46,6,0,EURUSD
166,1726815600,1.11758,1.11766,1.11743,1.11761,71,6,0,EURUSD
167,1726815660,1.11762,1.11775,1.11746,1.11746,87,6,0,EURUSD
168,1726815720,1.11746,1.11757,1.11744,1.11749,48,6,0,EURUSD
169,1726815780,1.11747,1.1175,1.11741,1.11742,40,6,0,EURUSD
170,1726815840,1.11742,1.11747,1.11731,1.11741,56,6,0,EURUSD
171,1726815900,1.11741,1.11767,1.11736,1.11767,61,6,0,EURUSD
172,1726815960,1.11765,1.11795,1.11755,1.11795,60,6,0,EURUSD
173,1726816020,1.11791,1.11794,1.11765,1.11765,50,6,0,EURUSD
174,1726816080,1.11765,1.11781,1.11756,1.11779,50,6,0,EURUSD
175,1726816140,1.1178,1.11796,1.11775,1.11785,55,6,0,EURUSD
176,1726816200,1.11783,1.11799,1.11781,1.11796,47,6,0,EURUSD
177,1726816260,1.11796,1.11796,1.11783,1.11788,34,6,0,EURUSD
178,1726816320,1.11788,1.11806,1.1178,1.11801,72,6,0,EURUSD
179,1726816380,1.11801,1.11815,1.11796,1.11797,48,6,0,EURUSD
180,1726816440,1.11796,1.11813,1.11796,1.11807,52,6,0,EURUSD
181,1726816500,1.11807,1.11809,1.11789,1.11801,41,6,0,EURUSD
182,1726816560,1.11801,1.1181,1.11794,1.11802,49,6,0,EURUSD
183,1726816620,1.1179999999999999,1.11802,1.11761,1.11772,65,6,0,EURUSD
184,1726816680,1.1177,1.11779,1.11765,1.11766,47,6,0,EURUSD
185,1726816740,1.11767,1.11769,1.11753,1.11758,72,6,0,EURUSD
186,1726816800,1.11755,1.11778,1.11753,1.11763,79,6,0,EURUSD
187,1726816860,1.11765,1.11767,1.11743,1.11747,72,6,0,EURUSD
188,1726816920,1.11747,1.11748,1.11736,1.11741,52,6,0,EURUSD
189,1726816980,1.11744,1.11744,1.11733,1.11737,29,6,0,EURUSD
190,1726817040,1.11737,1.11754,1.11732,1.11751,48,6,0,EURUSD
191,1726817100,1.1175,1.11765,1.11747,1.11759,45,6,0,EURUSD
192,1726817160,1.11757,1.11766,1.11754,1.11763,30,6,0,EURUSD
193,1726817220,1.11762,1.11764,1.11745,1.11746,45,6,0,EURUSD
194,1726817280,1.11746,1.11754,1.11736,1.11753,36,6,0,EURUSD
195,1726817340,1.11753,1.1176,1.1174,1.1176,52,6,0,EURUSD
196,1726817400,1.11761,1.11763,1.1172,1.1174,89,6,0,EURUSD
197,1726817460,1.11738,1.11744,1.11724,1.1173,49,6,0,EURUSD
198,1726817520,1.11731,1.11751,1.11726,1.11745,51,6,0,EURUSD
199,1726817580,1.11745,1.11768,1.11741,1.11767,43,6,0,EURUSD
200,1726817640,1.11766,1.11768,1.11733,1.11733,54,6,0,EURUSD
201,1726817700,1.11731,1.11737,1.11724,1.11737,56,6,0,EURUSD
202,1726817760,1.11734,1.11743,1.11724,1.1172900000000001,50,6,0,EURUSD
203,1726817820,1.1172900000000001,1.1173,1.11694,1.11698,61,6,0,EURUSD
204,1726817880,1.11697,1.11723,1.11695,1.11723,64,6,0,EURUSD
205,1726817940,1.11724,1.11741,1.11713,1.11725,60,6,0,EURUSD
206,1726818000,1.11723,1.11727,1.1171,1.11719,63,6,0,EURUSD
207,1726818060,1.11721,1.11725,1.11709,1.11713,52,6,0,EURUSD
208,1726818120,1.11711,1.11712,1.11688,1.11688,41,6,0,EURUSD
209,1726818180,1.11687,1.117,1.11676,1.11683,55,6,0,EURUSD
210,1726818240,1.1168,1.11683,1.11669,1.1167799999999999,52,6,0,EURUSD
211,1726818300,1.11677,1.1168,1.11663,1.11665,74,6,0,EURUSD
212,1726818360,1.11667,1.11679,1.11646,1.11653,72,6,0,EURUSD
213,1726818420,1.11653,1.11672,1.11653,1.11656,70,6,0,EURUSD
214,1726818480,1.11655,1.1166,1.11635,1.11635,64,6,0,EURUSD
215,1726818540,1.11635,1.11641,1.11627,1.11638,58,6,0,EURUSD
216,1726818600,1.11638,1.11645,1.11622,1.11624,54,6,0,EURUSD
217,1726818660,1.11623,1.11627,1.11616,1.11619,45,6,0,EURUSD
218,1726818720,1.11621,1.11637,1.11616,1.1163,52,6,0,EURUSD
219,1726818780,1.11629,1.1163,1.11613,1.11615,49,6,0,EURUSD
220,1726818840,1.11614,1.1162,1.11595,1.11598,63,6,0,EURUSD
221,1726818900,1.11595,1.11609,1.11591,1.11608,44,6,0,EURUSD
222,1726818960,1.1161,1.11619,1.11599,1.11611,70,6,0,EURUSD
223,1726819020,1.11612,1.11616,1.11599,1.11609,49,6,0,EURUSD
224,1726819080,1.11609,1.1163,1.11604,1.11629,49,6,0,EURUSD
225,1726819140,1.11629,1.1163,1.11611,1.11625,44,6,0,EURUSD
226,1726819200,1.11622,1.11652,1.11619,1.11641,80,6,0,EURUSD
227,1726819260,1.11641,1.11646,1.11635,1.11637,44,6,0,EURUSD
228,1726819320,1.11639,1.11644,1.11632,1.11641,50,6,0,EURUSD
229,1726819380,1.11639,1.11645,1.11629,1.11632,39,6,0,EURUSD
230,1726819440,1.11634,1.11646,1.11631,1.11636,51,6,0,EURUSD
231,1726819500,1.11637,1.1165,1.11625,1.11625,44,6,0,EURUSD
232,1726819560,1.11626,1.11627,1.11598,1.1160700000000001,60,6,0,EURUSD
233,1726819620,1.11606,1.11606,1.11576,1.11585,73,6,0,EURUSD
234,1726819680,1.11584,1.11592,1.11578,1.11582,62,6,0,EURUSD
235,1726819740,1.11582,1.11599,1.11577,1.11598,47,6,0,EURUSD
236,1726819800,1.11598,1.11601,1.11578,1.11579,43,6,0,EURUSD
237,1726819860,1.11582,1.11595,1.11576,1.11588,59,6,0,EURUSD
238,1726819920,1.11587,1.1159,1.11574,1.11585,43,6,0,EURUSD
239,1726819980,1.11585,1.11585,1.1156,1.11571,51,6,0,EURUSD
240,1726820040,1.11572,1.11583,1.11569,1.11576,34,6,0,EURUSD
241,1726820100,1.11576,1.11583,1.11557,1.11558,40,6,0,EURUSD
242,1726820160,1.11558,1.11562,1.11537,1.1155599999999999,59,6,0,EURUSD
243,1726820220,1.11555,1.11555,1.11529,1.11529,56,6,0,EURUSD
244,1726820280,1.1153,1.11546,1.11522,1.11546,70,6,0,EURUSD
245,1726820340,1.11547,1.11552,1.1154,1.11551,48,6,0,EURUSD
246,1726820400,1.11549,1.11558,1.11544,1.11552,52,6,0,EURUSD
247,1726820460,1.11552,1.11561,1.11547,1.11547,50,6,0,EURUSD
248,1726820520,1.11547,1.1155,1.11538,1.1155,34,6,0,EURUSD
249,1726820580,1.11547,1.11552,1.11536,1.11546,44,6,0,EURUSD
250,1726820640,1.11548,1.11558,1.11535,1.11551,57,6,0,EURUSD
251,1726820700,1.11551,1.11572,1.11549,1.11569,44,6,0,EURUSD
252,1726820760,1.11569,1.1158,1.11557,1.11578,58,6,0,EURUSD
253,1726820820,1.11577,1.11591,1.11574,1.11586,49,6,0,EURUSD
254,1726820880,1.11586,1.11599,1.11578,1.1159,43,6,0,EURUSD
255,1726820940,1.11589,1.11589,1.11576,1.11585,48,6,0,EURUSD
256,1726821000,1.11584,1.11596,1.11584,1.11591,44,6,0,EURUSD
257,1726821060,1.11591,1.11604,1.1158,1.11599,53,6,0,EURUSD
258,1726821120,1.11599,1.11615,1.11598,1.11615,34,6,0,EURUSD
259,1726821180,1.11615,1.11647,1.11615,1.1164,59,6,0,EURUSD
