,time,open,high,low,close,tick_volume,spread,real_volume
0,1715547900,1.25069,1.25069,1.25013,1.25068,7,296,0
1,1715547960,1.25015,1.2506599999999999,1.25012,1.25018,13,288,0
2,1715548020,1.25019,1.25072,1.25019,1.25065,12,258,0
3,1715548080,1.2507,1.25083,1.2507,1.25079,8,237,0
4,1715548140,1.25082,1.25085,1.25079,1.25085,3,233,0
5,1715548200,1.25089,1.25103,1.25089,1.25102,12,207,0
6,1715548260,1.25115,1.25145,1.25088,1.25088,5,157,0
7,1715548320,1.25104,1.25104,1.2506300000000001,1.2509299999999999,11,218,0
8,1715548380,1.25064,1.25074,1.25064,1.25074,2,270,0
9,1715548440,1.25091,1.25107,1.25084,1.25091,7,209,0
10,1715548500,1.25089,1.2512699999999999,1.25089,1.25119,8,172,0
11,1715548560,1.25122,1.25134,1.25119,1.25123,14,157,0
12,1715548620,1.25115,1.2513,1.25115,1.25116,9,164,0
13,1715548680,1.2512400000000001,1.25136,1.25106,1.2512699999999999,9,154,0
14,1715548740,1.25139,1.25153,1.25107,1.2511700000000001,7,127,0
15,1715548800,1.25131,1.25155,1.25107,1.25123,10,123,0
16,1715548860,1.2511999999999999,1.25146,1.25104,1.25104,10,129,0
17,1715548920,1.25081,1.2513,1.25081,1.25098,7,170,0
18,1715548980,1.25103,1.25103,1.2506599999999999,1.25085,4,203,0
19,1715549040,1.25103,1.2513,1.25103,1.25115,6,163,0
20,1715549100,1.25116,1.25126,1.25113,1.2511700000000001,13,164,0
21,1715549160,1.25122,1.25133,1.2511700000000001,1.2511700000000001,10,150,0
22,1715549220,1.2512400000000001,1.2512400000000001,1.25108,1.25116,3,164,0
23,1715549280,1.2512400000000001,1.25144,1.2512400000000001,1.25143,11,130,0
24,1715549340,1.2513,1.25142,1.25125,1.25125,6,132,0
25,1715549400,1.25134,1.25153,1.25125,1.2513,17,123,0
26,1715549460,1.2513,1.25143,1.2513,1.25143,14,175,0
27,1715549520,1.25144,1.25155,1.25144,1.25155,10,148,0
28,1715549580,1.25156,1.25172,1.2515,1.25172,13,108,0
29,1715549640,1.25172,1.25177,1.25155,1.2515800000000001,14,96,0
30,1715549700,1.2515800000000001,1.25159,1.25156,1.2515800000000001,10,150,0
31,1715549760,1.25157,1.25183,1.25157,1.2518099999999999,14,83,0
32,1715549820,1.25182,1.25186,1.25179,1.2518099999999999,6,79,0
33,1715549880,1.2517800000000001,1.25179,1.25159,1.25165,16,94,0
34,1715549940,1.25164,1.25169,1.25162,1.25164,12,122,0
35,1715550000,1.25165,1.25189,1.25157,1.25186,18,76,0
36,1715550060,1.25186,1.25186,1.25184,1.25186,7,78,0
37,1715550120,1.25187,1.25187,1.25186,1.25187,5,81,0
38,1715550180,1.2518799999999999,1.25189,1.25171,1.25171,8,71,0
39,1715550240,1.25172,1.2517800000000001,1.25172,1.25177,9,114,0
40,1715550300,1.25177,1.25192,1.25177,1.25192,11,65,0
41,1715550360,1.25193,1.25194,1.25148,1.25149,18,64,0
42,1715550420,1.25148,1.25162,1.25148,1.25156,18,107,0
43,1715550480,1.25153,1.2518099999999999,1.25149,1.2518099999999999,18,80,0
44,1715550540,1.25182,1.2518500000000001,1.25152,1.2515800000000001,16,72,0
45,1715550600,1.2515800000000001,1.25162,1.25146,1.25153,15,113,0
46,1715550660,1.25155,1.25186,1.25137,1.25159,19,76,0
47,1715550720,1.2515800000000001,1.25163,1.25155,1.25155,18,107,0
